"words" "score"
"about" 4207
"after" 1983
"again" 831
"all" 4773
"also" 1945
"always" 882
"and" 35757
"another" 926
"any" 1274
"are" 6826
"around" 1055
"back" 2011
"because" 1780
"been" 2759
"before" 1323
"being" 1182
"best" 1080
"better" 874
"big" 861
"but" 6934
"can" 4211
"city" 969
"come" 1117
"could" 1639
"day" 2273
"did" 1403
"didn" 909
"don" 2151
"down" 1283
"even" 1619
"every" 975
"family" 844
"few" 817
"first" 2047
"for" 15281
"from" 5572
"game" 977
"get" 2848
"going" 1648
"good" 2265
"got" 1387
"great" 1509
"had" 3526
"has" 3886
"have" 7316
"her" 3028
"here" 1443
"him" 1689
"his" 4516
"home" 1146
"how" 2387
"into" 1988
"its" 1902
"just" 3943
"know" 2122
"last" 1808
"let" 931
"life" 1256
"like" 3700
"little" 1187
"long" 1017
"look" 899
"love" 1892
"made" 1182
"make" 1757
"man" 824
"many" 1267
"may" 1140
"more" 3459
"most" 1364
"much" 1632
"need" 1293
"never" 1027
"new" 2724
"next" 1063
"night" 1042
"not" 5744
"now" 2397
"off" 1440
"old" 967
"one" 4271
"only" 1791
"other" 1912
"our" 2599
"out" 4193
"over" 1778
"people" 2261
"really" 1515
"right" 1319
"said" 4953
"same" 842
"say" 1179
"says" 800
"school" 1109
"see" 1791
"she" 3139
"should" 1149
"show" 845
"since" 872
"some" 2849
"something" 1017
"state" 1183
"still" 1469
"such" 832
"take" 1225
"than" 2026
"thanks" 1052
"that" 16201
"the" 70256
"their" 2971
"them" 2403
"then" 1813
"there" 3550
"these" 1181
"they" 5294
"things" 1072
"think" 1664
"this" 7448
"those" 1311
"three" 1022
"through" 1126
"time" 3132
"today" 1383
"too" 1526
"two" 1856
"very" 1294
"want" 1343
"was" 9082
"way" 1545
"week" 1088
"well" 1660
"were" 2722
"what" 3990
"when" 3677
"where" 1438
"which" 2285
"while" 1156
"who" 3806
"why" 980
"will" 4427
"with" 10206
"work" 1370
"world" 979
"would" 2925
"year" 2112
"years" 1410
"you" 12920
"your" 3775
"a bad" 1456
"a better" 1584
"a big" 3328
"ability to" 1600
"a bit" 4688
"able to" 6208
"a book" 1360
"about a" 3296
"about how" 1760
"about it" 3232
"about the" 9536
"about this" 1872
"about to" 2144
"about what" 1632
"according to" 6112
"a chance" 1984
"a couple" 3808
"across the" 2608
"a day" 2288
"a different" 1472
"a few" 9648
"a friend" 1408
"after a" 2800
"after the" 5456
"against the" 2864
"a game" 1344
"a good" 7712
"a great" 7920
"a half" 1504
"a huge" 1616
"a large" 1760
"a little" 9296
"all day" 1552
"all i" 2192
"all my" 1344
"all of" 6736
"all over" 1504
"all that" 1904
"all the" 11200
"a long" 3568
"along the" 1568
"along with" 2192
"a lot" 10368
"a man" 2160
"am i" 1632
"am not" 1280
"among the" 1728
"a month" 1456
"a more" 1360
"amount of" 1600
"and a" 14144
"and all" 2432
"and an" 1376
"and as" 1584
"and even" 1808
"and for" 2144
"and get" 1696
"and has" 1728
"and have" 2320
"and he" 4624
"and her" 1952
"and his" 3968
"and how" 2064
"and i" 22736
"and if" 2208
"and in" 3504
"and is" 2592
"and it" 8208
"and its" 1616
"and just" 1440
"and more" 2336
"and my" 2656
"and no" 1344
"and not" 2672
"and now" 1776
"and one" 1824
"and other" 4240
"and see" 1280
"and she" 2432
"and so" 2304
"and some" 1824
"and that" 6080
"and the" 30128
"and their" 1952
"and then" 6928
"and there" 2208
"and they" 4352
"and this" 1920
"and to" 2816
"and was" 2912
"and we" 5872
"and what" 2256
"and when" 1648
"and will" 1984
"and with" 1440
"and you" 4496
"and your" 1376
"a new" 6928
"an hour" 1568
"a nice" 1536
"any of" 1680
"any other" 1424
"a person" 1328
"a place" 1280
"are a" 2992
"a real" 1408
"are all" 1568
"are going" 1696
"are in" 2144
"are not" 3792
"aren t" 2720
"are so" 1744
"are still" 1776
"are the" 4448
"are you" 5632
"around the" 3904
"as a" 16160
"as an" 2800
"a second" 1904
"as he" 2832
"as i" 5312
"as if" 1472
"a single" 1472
"as it" 2960
"as long" 1360
"a small" 2768
"as much" 2384
"as the" 10880
"as they" 2720
"as we" 2352
"as well" 7424
"as you" 2128
"at a" 7936
"at all" 3248
"at home" 2064
"a time" 1856
"at least" 6992
"at p" 1616
"at the" 32320
"at this" 2288
"a very" 3920
"a way" 1680
"away from" 2864
"a week" 2096
"a while" 2320
"a whole" 1328
"a woman" 1280
"a year" 5328
"back and" 1936
"back in" 2544
"back on" 1296
"back to" 6800
"based on" 2544
"be a" 10144
"be able" 2688
"be an" 1312
"be at" 1456
"because he" 1536
"because i" 4128
"because it" 3008
"because of" 4224
"because the" 2304
"because they" 1968
"become a" 1344
"been a" 3216
"before i" 1616
"before the" 3360
"behind the" 1328
"be in" 2704
"being a" 1680
"believe that" 1408
"be more" 1376
"be on" 1776
"be the" 4848
"be there" 1456
"better than" 2144
"between the" 1904
"bit of" 1936
"but a" 1504
"but he" 3376
"but i" 13792
"but if" 1728
"but in" 1376
"but it" 7952
"but not" 1984
"but that" 2848
"but the" 7328
"but there" 1296
"but they" 2880
"but this" 1600
"but we" 2512
"but when" 1344
"but you" 1856
"by a" 4032
"by the" 14784
"came to" 1600
"can be" 6176
"can do" 1744
"can get" 1664
"can i" 1408
"can see" 1552
"can t" 15072
"can you" 2000
